sentence_id,title,origin_sentence,paragraph_text,query number,clean_sentence,tagger,status,label
852068,SH-08-9929-69, בעניין זה גרסת המתלוננת הייתה חד משמעית ואילו הנאשם שלל את הגרסה וטען שלא הייתה נסיעה כזו,"התמך השני נוגע למחלוקת הקוטבית בשאלה האם הנאשם והמתלוננת נסעו יחד ברכב באותו יום לכיוון גשר אלנבי, ממנו למחסום בית הערבה, לצומת הלידו ובחזרה. בעניין זה גרסת המתלוננת הייתה חד משמעית ואילו הנאשם שלל את הגרסה וטען שלא הייתה נסיעה כזו. חיזוק לעמדת המתלוננת נמצא בעדויות שניים : דודו אוחנה ושניר לוי. אלא שגם בעניין זה שלכאורה יכול היה לשמש חיזוק משמעותי לגרסת המתלוננת על רקע שקר של הנאשם לגבי הנסיעה מתעוררים קשיים:",3, בעניין זה גרסת המתלוננת הייתה חד משמעית ואילו הנאשם שלל את הגרסה וטען שלא הייתה נסיעה כזו,tagger1,annotated,category1
383842,s04001528-281," עדותה של המתלוננת, שנמסרה בעודה יושבת בכיסא הגלגלים שלה, היתה  עדות עקבית וסדורה של נערה אינטליגנטית הערה מאוד למתרחש סביבה","א. עדותה של המתלוננת, שנמסרה בעודה יושבת בכיסא הגלגלים שלה, היתה  עדות עקבית וסדורה של נערה אינטליגנטית הערה מאוד למתרחש סביבה.",5," עדותה של המתלוננת, שנמסרה בעודה יושבת בכיסא הגלגלים שלה, היתה  עדות עקבית וסדורה של נערה אינטליגנטית הערה מאוד למתרחש סביבה",tagger1,not annotated,
715961,s03004300-278,"ברם, כאשר מצרפים סתירה זו לסתירה בין הגירסה שנשמעה במשפט ובין הגירסה שמסרה המתלוננת לאבו, מתחזקת האפשרות, המעוגנת בראיות שבפניי, כי עדותה של המתלוננת בבית המשפט היתה מוטה","ברם, כאשר מצרפים סתירה זו לסתירה בין הגירסה שנשמעה במשפט ובין הגירסה שמסרה המתלוננת לאבו, מתחזקת האפשרות, המעוגנת בראיות שבפניי, כי עדותה של המתלוננת בבית המשפט היתה מוטה. עולה חשש של ממש, כי המתלוננת ביקשה להצניע את ההיבטים הנוגעים לתיאור האירוע, אשר מעלים אפשרות כי לא היה מדובר במעשה מגונה, כטענתה. עובדה זו מקשה לקבל את גירסתה כגירסה מהימנה.",1,"ברם, כאשר מצרפים סתירה זו לסתירה בין הגירסה שנשמעה במשפט ובין הגירסה שמסרה המתלוננת לאבו, מתחזקת האפשרות, המעוגנת בראיות שבפניי, כי עדותה של המתלוננת בבית המשפט היתה מוטה",tagger1,annotated,category1
149372,ME-08-1005-44,"עדות המתלוננת באשר למצבה הנפשי במועד האירוע ועדות הנאשם באשר למצבה אינן מהימנות ומשקלן מועט: המתלוננת באופן עקבי מסרבת להודות, כי לסימפטומים של מחלתה \ ההפרעה הנפשית ממנה סבלה באותה העת היה קשר להתנהגותה ביום האירוע או בכלל במהלך אשפוזה","עדות המתלוננת באשר למצבה הנפשי במועד האירוע ועדות הנאשם באשר למצבה אינן מהימנות ומשקלן מועט: המתלוננת באופן עקבי מסרבת להודות, כי לסימפטומים של מחלתה \ ההפרעה הנפשית ממנה סבלה באותה העת היה קשר להתנהגותה ביום האירוע או בכלל במהלך אשפוזה. הגם שיש ראיות ועדויות למכביר, כי במצבים בהם היתה המתלוננת במצב היפומאני – מאני, הייתה ""מוצפת מינית"" ובעלת התנהגות מינית יותר מוחצנת ומפתה (עובדות אלו מוסכמות הן על המאשימה והן על ההגנה – ראו לדוגמא עמ' 46 לסיכומי המאשימה ועדות ד""ר טרווס עת/11 בעמ' 208 לפרוט' וכן עמ' 94 לסיכומי המאשימה ועדות ד""ר ברש, עה/2 בעמ' 327 לפרוט') המתלוננת העידה באופן נחרץ, כי לא הרגישה מעולם במהלך אשפוזיה בעוררות מינית כתוצאה ממחלתה\ההפרעה הנפשית ממנה סבלה (עמ' 26 ש' 1-16, עמ' 49 ש' 19-21, עמ' 50 ש' 11-20 לפרוט') ובפרט לא ביום האירוע (עמ' 25 ש' 26 לפרוט'). לגישתה, תיעוד רפואי לפיו הייתה שרויה בעוררות מינית במחלקה הוא תיעוד שגוי (עמ' 23 ש' 12-14 לפרוט') וגם משהתבקשה ממנה התייחסות לתיעוד מסוים של הצוות הסיעודי להתנהגות מינית חריגה מצידה – הכחישה את האירוע וטענה כי האחות שתיעדה את הדברים שונאת אותה (עמ' 51-52 לפרוט'). העובדה, כי המתלוננת אינה מוכנה להודות בסימפטומים אלו של מחלתה\ ההפרעה הנפשית ממנה סבלה מציבה קושי של ממש בקביעת מצבה הנפשי למועד האירוע, שלענייננו (בחינת היכולת ליתן הסכמה) נגזר באופן ישיר מהתקיימותם או אי התקיימותם של סימפטומים אלו. מן הצד הנגדי – גם את גרסת הנאשם באשר למצבה הנפשי של המתלוננת יש לבחון בזהירות רבה. לא קיים תיעוד (לא מידי הנאשם ולא בכלל) ברפורט הסיעודי בתיקה הרפואי של המתלוננת (מוצג ת/5) מיום האירוע ממנו עולה כי הייתה במצב מאני –היפו מאני או בעוררות מינית. ההיפך הוא הנכון: מהתיעוד האחרון ברפורט הסיעודי טרם התרחש האירוע, תיעוד שנערך ע""י הנאשם מהשעות שקדמו לאירוע, עולה כי הנאשם והמתלוננת שוחחו ארוכות עובר לאירוע על הסיבות שבחרה לחזור מהחופשה ולהתאשפז במחלקה והתיעוד מסתיים בציון שהמתלוננת ""שקטה, רגועה, מצב רוחה טוב, חברותית, נהנית להיות כאן"" (עמ' 11 לרפורט הסיעודי, תיעוד משעה 19:41 14.4.06). עם זה, ניכר מהרפורט הסיעודי, מהימים שקדמו לאירוע, כי המתלוננת סבלה ממצבי רוח משתנים, רבים הפעמים בהם היתה ב""מצב רוח מרומם"" (ראו בתיעודים מיום 9-10.4.06) ובתיעוד האחרון שקדם לשחרורה לחופשה ממנה חזרה ביום האירוע נכתב, ע""י הנאשם, כי מעבר למצבי רוח משתנים היא ""מעט יותר רגועה ועצובה אך עדיין גוון מעט מאני"" (תיעוד מיום 12.4.06 משעה 13:58). בהודעתו הראשונה של הנאשם במשטרה התייחס הנאשם למצבה הנפשי של המתלוננת בשעות שקדמו לאירוע כמו גם באירוע עצמו ותיאר את התנהגות המתלוננת כבמצב מאני שמתבטא בעודף מיניות (ראו ת/13 עמ' 4 ש' 5-7), ציין שעת נכנסה לחדר בו לן הטיח בה, כי היא במצב מאני וחסרת שיפוט (ת/13 עמ' 3 ש' 5-6 ובעמ' 4 ש' 13-17) והוסיף, כי במשך כל הערב המתלוננת פלירטטה איתו והייתה מוצפת מינית, אמרה לו שהיא אוהבת אותו ושלחה לו נשיקות באוויר (ת/13 עמ' 3 ש' 18-25 לפרוט'). גם בהודעתו השנייה של הנאשם במשטרה (מוצג ת/6), נאמר כביכול מפי הנאשם (הנאשם כאמור אינו חתום על ההודעה), כי ציין בפני המתלוננת עם כניסתה לחדר בו התרחש האירוע, כי היא ""ממש מוצפת"" (ת/6 עמ' 2 ש' 35-36 לפרוט') וכי עוד קודם לכן, במהלך המשמרת ""היא ניסתה לפלרטט איתי ואני לא הגבתי... כל פעם שעלה בי החשד והיא ושאלתי אותה אם להזמין רופא היא אמרה לי 'מה אתה כזה כבד'"" (ת/6 עמ' 2 ש' 29-31 לפרוט'). כשעומת הנאשם בחקירתו בבית המשפט עם הדברים שמסר בהודעותיו במשטרה בקשר למצבה הנפשי של המתלוננת הוא ניסה להתנער מן הדברים באופן מסוים: על פי גרסתו בבית המשפט ""המתלוננת היתה שקטה, הסתדרה במחלקה, לא הופיעה שום בעיה בהתנהגות שלה"" (עמ' 314 ש' 23 לפרוט'). הנאשם אישר כי המתלוננת בערב האירוע פלרטטה איתו, הציעה הצעות מיניות והתגרתה בו, אך לדבריו לא מדובר בהתנהגות חריגה מצידה (עמ' 315 ש' 31-33 לפרוט') והוסיף, כי גם בהזדמנויות אחרות היה עד למצבים בהם המתלוננת מוצפת מינית ומפלרטטת עם מטופלים אחרים (עמ' 316 ש' 10). לגרסתו, המתלוננת היתה מוצפת מינית אבל לא במצב ""מאני"" (עמ' 316 ש' 7-9 לפרוט') וכי לא באמת שקל להזמין רופא לאור התנהגותה אלא אך איים-הזהיר את המתלוננת כי יזמין רופא אם לא ""תחזור לסדר"" (עמ' 318-320 לפרוט'). ניתן לסכם ולומר, כי משלל גרסאותיו של הנאשם, בהודעותיו במשטרה ובעדותו בבית המשפט, לא ניתן להסיק כי המתלוננת הייתה חסרת שיפוט ובמצב מאני במועד האירוע. דברים כגון אלו אמנם הטיח לכאורה הנאשם במתלוננת, בזמן אמת, על פי הודעתו הראשונה במשטרה אך אין הדבר מחייב כי כך אכן סבר בזמן אמת (או שמא רק אמר לה את הדברים). ממילא האמון שיש ליתן בתוכן דברי הנאשם בהודעה זו אינו רב (ודי כי אזכיר בעניין זה כי גם הנאשם הודה כי בהודעה זו לא מסר אמת בכל הנוגע להתקיימות מגע מיני בין השניים, מגע אותו הכחיש באותו שלב מכל וכל לרבות כל שיתוף פעולה מצידו ומכאן גם האינטרס שהיה לו באותה הודעה להציג את המתלוננת כבעלת התנהגות מאנית-חסרת שליטה בכל הנוגע להתנהגותה המינית ביום האירוע) ובכלל המשקל שיש ליתן לתוכן הדברים הינו נמוך מאחר שהנאשם, כאיש צוות סיעודי אינו מוסמך או בעל הכשרה לאבחן אם מטופלים במחלקה הם במצב העולה כדי מצב ""מאני"" אם לאו. לצורך קביעת מצבה הנפשי של המתלוננת במועד האירוע בהחלט קיימת משמעות לדברים שקלט הנאשם באמצעות חושיו בנוגע להתנהגותה של המתלוננת, דברים שחלקם תועדו ברפורט הסיעודי מיום האירוע ועל היתר העיד (כדוגמת הפלרטוטים, הצעת הצעות מיניות, התגרות וכו') אך הנאשם חסר את היכולת לקבוע אם יש לייחס סימפטומים אלו למצב נפשי ""מאני"", ""היפו- מאני"" או מצב אחר בו הייתה שרויה המתלוננת. בהקשר זה יצויין, כי גם אם תאמר כי הנאשם סבר שהמתלוננת אינה שולטת במעשיה, השאלה אינה מה סבר או לא סבר הנאשם, אלא אם באמת זה היה מצבה על סמך מכלול הראיות שהונחו בפנינו.",3,"עדות המתלוננת באשר למצבה הנפשי במועד האירוע ועדות הנאשם באשר למצבה אינן מהימנות ומשקלן מועט: המתלוננת באופן עקבי מסרבת להודות, כי לסימפטומים של מחלתה \ ההפרעה הנפשית ממנה סבלה באותה העת היה קשר להתנהגותה ביום האירוע או בכלל במהלך אשפוזה",tagger1,not annotated,
258725,ME-10-01-28729-1," חשוב לציין כבר כאן כי עדותה זו של המתלוננת בפנינו היתה רצופה שתיקות, הפסקות ובכי","20. חשוב לציין כבר כאן כי עדותה זו של המתלוננת בפנינו היתה רצופה שתיקות, הפסקות ובכי. בשל שתיקותיה אלו נאלצה באת כוח המאשימה לרענן את זיכרונה של המתלוננת שוב ושוב ולהקריא מהודעותיה במשטרה והמתלוננת אישרה את הדברים שנרשמו מפיה על ידי החוקרת. למשמעות אופן מסירת העדות נתייחס בהמשך.",1," חשוב לציין כבר כאן כי עדותה זו של המתלוננת בפנינו היתה רצופה שתיקות, הפסקות ובכי",tagger1,not annotated,
403189,261890,"  לא על פי  אמרותיו  אציע להרשיעו, אלא על פי עדותה המהימנה של  המתלוננת  אשר חוזקה ואומתה בשורה של ראיות כפי  שעמדתי עליהן","21. בבואי להרשיע  את הנאשם,  בעבירות  המיוחסות לו, אינני סומך  כל עיקר על אמרותיו כיסוד  עיקרי להרשעתו.  לא על פי  אמרותיו  אציע להרשיעו, אלא על פי עדותה המהימנה של  המתלוננת  אשר חוזקה ואומתה בשורה של ראיות כפי  שעמדתי עליהן. אמרותיו של הנאשם נימנות גם הן על  ראיות  החיזוק, אלא שאין להן  ""מעמד מיוחד"" ביחס לראיות  החיזוק האחרות, והן שוות ערך לראיות  האחרות. בנסיבות אלה אין יסוד להתעלם מהאמור  באמרות הללו כחלק מהמסכת הכוללת של  הראיות המרשיעות, ולא כבסיס יחיד או מרכזי  להרשעה (השופטת ד' בייניש,    אנטולי ברילב נ' מ""י, לא פורסם).",5,"  לא על פי  אמרותיו  אציע להרשיעו, אלא על פי עדותה המהימנה של  המתלוננת  אשר חוזקה ואומתה בשורה של ראיות כפי  שעמדתי עליהן",tagger1,not annotated,
238648,SH-15-10-46643-55," גם עדותו המהיימנה של המתלונן לגבי שני ה""סשנים"", נתמכת בהתכתבויות","87. גם עדותו המהיימנה של המתלונן לגבי שני ה""סשנים"", נתמכת בהתכתבויות. יוזכר, כי הנאשם איננו מכחיש ששני אירועים דומים, התרחשו. אציין כבר כעת, שבשיחה מוקלטת שביצע המתלונן עם הנאשם מתחנת המשטרה, ללא ידיעתו של הנאשם, ובטרם הוזמן הנאשם לחקירה, המתלונן הזכיר את שני ה""סשנים"", והנאשם ידע מיד במה מדובר, אך טען שהדברים נעשו בהסכמת המתלונן. גרסת הנאשם לגבי שני האירועים, הייתה, כפי שצויין לעיל, כי לא דובר באקט טיפולי, כי אם במדיטציה הדדית בעירום שנעשתה על ידי בני זוג.",12," גם עדותו המהיימנה של המתלונן לגבי שני ה""סשנים"", נתמכת בהתכתבויות",tagger1,not annotated,
478135,ME-09-12-5569-3,אף אני מצאתי את עדותו של המתלונן ראויה לאמון על פי הרושם הישיר שקיבלתי ממנו במהלך עדותו הארוכה,אף אני מצאתי את עדותו של המתלונן ראויה לאמון על פי הרושם הישיר שקיבלתי ממנו במהלך עדותו הארוכה.,5,אף אני מצאתי את עדותו של המתלונן ראויה לאמון על פי הרושם הישיר שקיבלתי ממנו במהלך עדותו הארוכה,tagger1,not annotated,
856972,s05003256-194,"הסדר הטיעון בחלקו הראשון, ייתר את שמיעת עדותה המוקדמת של המתלוננת בענין האישום הראשון, ובחלקו השני-  את שמיעת עדות המתלוננת בנוגע לאישום השני","הסדר הטיעון בחלקו הראשון, ייתר את שמיעת עדותה המוקדמת של המתלוננת בענין האישום הראשון, ובחלקו השני-  את שמיעת עדות המתלוננת בנוגע לאישום השני.",5,"הסדר הטיעון בחלקו הראשון, ייתר את שמיעת עדותה המוקדמת של המתלוננת בענין האישום הראשון, ובחלקו השני-  את שמיעת עדות המתלוננת בנוגע לאישום השני",tagger1,not annotated,
616681,m07008007-405," לסוגיה זו נצרך בית-המשפט לאור ההקלטה שביצע עד ההגנה י’ ר’, שעל-בסיסה נטען על-ידי ההגנה כי גרסת מתלוננת 2 הינה שקרית","עוד הוגשו – בהסכמה – הודעות הנאשם במשטרה (ת/1-ת/4א); פתק שנרשם על-ידי עד התביעה א""ק (אחיו של מתלונן 1) באולם בית-המשפט ביום 18.3.07 (ת/5); דו""ח עימות בין הנאשם למתלונן 1 מיום 16.1.07 (ת/6); תצהיר העדה זא""י מיום 22.2.07 בנוגע לאישום 3 (ת/7); פלט השיחות הנכנסות מטעם חברת ""סלקום"", מיום 24.4.07, למספר הטלפון הסלולארי שבבעלות עד ההגנה י’ ר’, אחיינו של הנאשם (ת/8); הודעות עד ההגנה י’ ר’ במשטרה (ת/9 ו-ת/10); אסופת אסמכתאות ובהן קביעות מהימנות ומשקל בלתי מחמיאות שניתנו לחוות-הדעת שהגיש המומחה לזיהוי דוברים מטעם ההגנה, מר א’ ח’, בתיקים אחרים (ת/12-ת/16); מאידך, הוגשה חוות-דעת לזיהוי דוברים מאת הגב' ש’ כ’, ממטא""ר (ת/17). לסוגיה זו נצרך בית-המשפט לאור ההקלטה שביצע עד ההגנה י’ ר’, שעל-בסיסה נטען על-ידי ההגנה כי גרסת מתלוננת 2 הינה שקרית.",3," לסוגיה זו נצרך בית-המשפט לאור ההקלטה שביצע עד ההגנה י’ ר’, שעל-בסיסה נטען על-ידי ההגנה כי גרסת מתלוננת 2 הינה שקרית",tagger1,not annotated,
